"","title","created_at","updated_at","id","chamber","state","session","type","bill_id"
"1796","Commending Doug Reed of the Wheeler Volunteer Fire Department for his contribution to fighting the Texas Panhandle fires of March 2017.","2017-04-29 09:34:18","2017-06-05 10:28:26","TXB00057230","lower","tx","85","resolution","HR 1805"
"1797","Commending Garrett Andis of the Wheeler Volunteer Fire Department for his contribution to fighting the Texas Panhandle fires of March 2017.","2017-04-29 09:34:24","2017-06-05 10:28:51","TXB00057240","lower","tx","85","resolution","HR 1803"
"1798","Commending Ty Armstrong of the Wheeler Volunteer Fire Department for his contribution to fighting the Texas Panhandle fires of March 2017.","2017-04-29 09:34:34","2017-06-05 10:28:01","TXB00057255","lower","tx","85","resolution","HR 1808"
"1799","Commending Ricky Salas of the Wheeler Volunteer Fire Department for his contribution to fighting the Texas Panhandle fires of March 2017.","2017-04-29 09:34:48","2017-06-05 10:28:24","TXB00057263","lower","tx","85","resolution","HR 1809"
"1800","Commending Clayton Owens of the Wheeler Volunteer Fire Department for his contribution to fighting the Texas Panhandle fires of March 2017.","2017-04-29 09:34:53","2017-06-05 10:28:37","TXB00057270","lower","tx","85","resolution","HR 1800"
"1801","Commending Mark Marshall of the Wheeler Volunteer Fire Department for his contribution to fighting the Texas Panhandle fires of March 2017.","2017-04-29 09:34:55","2017-06-05 10:28:36","TXB00057273","lower","tx","85","resolution","HR 1818"
"1802","Commending Clay Zybach of the Wheeler Volunteer Fire Department for his contribution to fighting the Texas Panhandle fires of March 2017.","2017-04-29 09:35:13","2017-06-05 10:27:57","TXB00057290","lower","tx","85","resolution","HR 1807"
"1803","Congratulating the City of Brownsville on setting the Guinness World Record for largest huapango dance.","2017-05-01 09:50:05","2017-06-05 10:27:49","TXB00057294","lower","tx","85","resolution","HR 1837"
"1804","In memory of Juan Gonzales Sr.","2017-05-01 09:51:26","2017-06-05 10:28:22","TXB00057295","lower","tx","85","resolution","HR 1838"
"1805","Honoring Chris Kyker of Abilene for her public service.","2017-05-02 09:47:10","2017-06-05 10:28:48","TXB00057300","lower","tx","85","resolution","HR 1848"
"1806","In memory of Robert Caraway of Winnie.","2017-05-02 09:47:13","2017-06-05 10:28:48","TXB00057301","lower","tx","85","resolution","HR 1846"
